开课学院,课程号,课程名,班级序号,教师名,学分,开课校区,教室类型,时间1,时间2,时间3,上课容量,主干课程
国际经贸学院,11712,国际商务函电（英）,A03,张小俊,2,蛟桥园校区, 多媒体,4-12,,,60,1
国际经贸学院,11712,国际商务函电（英）,A04,张小俊,2,蛟桥园校区, 多媒体,4-34,,,60,1
国际经贸学院,11712,国际商务函电（英）,A05,付茜茹,2,蛟桥园校区, 多媒体,1-12,,,60,1
国际经贸学院,11712,国际商务函电（英）,A07,付茜茹,2,蛟桥园校区, 多媒体,1-34,,,60,0
国际经贸学院,11712,国际商务函电（英）,A08,付茜茹,2,蛟桥园校区, 多媒体,1-56,,,60,0
国际经贸学院,11912,国际贸易结算,A01,王善论,2,蛟桥园校区, 多媒体,3-12,,,60,0
国际经贸学院,11912,国际贸易结算,A02,王善论,2,蛟桥园校区, 多媒体,3-34,,,60,0
国际经贸学院,11983,国际服务贸易(双语),A01,邓军,3,蛟桥园校区, 多媒体,2-89A,,,60,1
国际经贸学院,11983,国际服务贸易(双语),A02,余昌龙,3,蛟桥园校区, 多媒体,4-89A,,,60,1
国际经贸学院,41022,报关实务,A01,戴明辉,2,蛟桥园校区, 多媒体,2-12,,,100,0
国际经贸学院,41022,报关实务,A02,戴明辉,2,蛟桥园校区, 多媒体,2-34,,,100,0
国际经贸学院,41122,国际经济学研究方法,A01,蒋含明,2,蛟桥园校区, 多媒体,4-12,,,60,0
国际经贸学院,41122,国际经济学研究方法,A02,蒋含明,2,蛟桥园校区, 多媒体,4-34,,,60,0
国际经贸学院,41122,国际经济学研究方法,A03,刘建,2,蛟桥园校区, 多媒体,5-34,5-34,,60,0
国际经贸学院,41342,国际经贸形势与政策,A01,袁红林,2,蛟桥园校区, 多媒体,1-1234,,,60,0
国际经贸学院,41342,国际经贸形势与政策,A02,刘振林,2,蛟桥园校区, 多媒体,1-1234,,,60,0
国际经贸学院,41342,国际经贸形势与政策,A03,吴朝阳,2,蛟桥园校区, 多媒体,1-1234,,,60,0
国际经贸学院,41342,国际经贸形势与政策,A04,刘建,2,蛟桥园校区, 多媒体,1-1234,,,60,0
国际经贸学院,41432,中级商务英语,A01,张小俊,2,蛟桥园校区, 多媒体,1-12,,,60,1
国际经贸学院,41442,中国对外贸易概论,A01,刘振林,2,蛟桥园校区, 多媒体,3-12,,,60,0
国际经贸学院,41442,中国对外贸易概论,A02,刘振林,2,蛟桥园校区, 多媒体,3-34,,,60,0
国际经贸学院,41442,中国对外贸易概论,A03,邹全胜,2,蛟桥园校区, 多媒体,3-12,,,60,0
国际经贸学院,41442,中国对外贸易概论,A04,邹全胜,2,蛟桥园校区, 多媒体,3-34,,,60,0
国际经贸学院,41462,跨国公司概论,A01,超鸿燕,2,蛟桥园校区, 多媒体,2-34,,,60,0
国际经贸学院,41462,跨国公司概论,A02,超鸿燕,2,蛟桥园校区, 多媒体,3-34,,,60,0
国际经贸学院,41723,电子商务物流管理（双语）,A01,黎新伍,3,蛟桥园校区, 多媒体,1-89A,,,60,0
国际经贸学院,41772,奢侈品贸易概论,A01,刘春兰,2,蛟桥园校区, 多媒体,3-34,,,65,0
国际经贸学院,41772,奢侈品贸易概论,A02,刘春兰,2,蛟桥园校区, 多媒体,4-89,,,65,0
国际经贸学院,41792,商品学基础,A01,刘春兰,2,蛟桥园校区, 多媒体,4-34,,,60,0
国际经贸学院,41792,商品学基础,A02,叶晗堃,2,蛟桥园校区, 多媒体,2-12,,,60,0
国际经贸学院,41792,商品学基础,A03,叶晗堃,2,蛟桥园校区, 多媒体,2-34,,,60,0
国际经贸学院,410E3,客户关系管理,A01,罗春香,3,蛟桥园校区, 多媒体,2-567,,,60,0
国际经贸学院,00J12,国际贸易理论与实务,B01,马添翼,2,麦庐园校区, 多媒体,2-12,,,60,0
国际经贸学院,00J12,国际贸易理论与实务,B02,马添翼,2,麦庐园校区, 多媒体,2-34,,,60,0
国际经贸学院,11A92,顾客心理与行为,A01,何望,2,蛟桥园校区, 多媒体,2-12,,,60,0
国际经贸学院,11A92,顾客心理与行为,A02,何望,2,蛟桥园校区, 多媒体,2-34,,,60,0
国际经贸学院,11A92,顾客心理与行为,A03,叶晗堃,2,蛟桥园校区, 多媒体,4-12,,,60,0
国际经贸学院,11A92,顾客心理与行为,A04,叶晗堃,2,蛟桥园校区, 多媒体,4-34,,,60,0
国际经贸学院,11D42,流通经济学,A01,肖挺,2,蛟桥园校区, 多媒体,3-12,,,60,0
国际经贸学院,11D42,流通经济学,A02,肖挺,2,蛟桥园校区, 多媒体,3-34,,,60,0
国际经贸学院,11D42,流通经济学,A03,汤晓军,2,蛟桥园校区, 多媒体,1-12,,,60,0
国际经贸学院,11D42,流通经济学,A04,汤晓军,2,蛟桥园校区, 多媒体,1-34,,,60,0
国际经贸学院,11D72,商务数据分析,A01,李虹来,2,蛟桥园校区, 机房（技术中心）,4-12,,,60,0
国际经贸学院,11D72,商务数据分析,A02,李虹来,2,蛟桥园校区, 机房（技术中心）,4-34,,,60,1
国际经贸学院,11D82,商业伦理学,A01,梁红,2,蛟桥园校区, 多媒体,2-12,,,60,0
国际经贸学院,11D82,商业伦理学,A02,梁红,2,蛟桥园校区, 多媒体,2-34,,,60,0
国际经贸学院,410C3,智能商务,A01,戴爱明,3,蛟桥园校区, 机房（技术中心）,3-89A,,,60,0
国际经贸学院,410D3,电子商务案例,A01,袁海燕,3,蛟桥园校区, 多媒体,4-567,,,60,0
国际经贸学院,417B2,网络伦理学,A01,邱新平,2,蛟桥园校区, 多媒体,3-34,,,60,0
会计学院,02013,财务管理,A07,魏平秀,3,蛟桥园校区, 多媒体,1-89A,,,55,1
会计学院,02013,财务管理,A08,魏平秀,3,蛟桥园校区, 多媒体,2-89A,,,55,1
会计学院,02013,财务管理,A09,魏平秀,3,蛟桥园校区, 多媒体,3-89A,,,55,1
会计学院,02013,财务管理,A10,张阳华,3,蛟桥园校区, 多媒体,2-567,,,55,1
会计学院,02013,财务管理,B01,陈瑛瑛,3,麦庐园校区, 多媒体,1-567,,,55,0
会计学院,02013,财务管理,B02,陈瑛瑛,3,麦庐园校区, 多媒体,2-567,,,55,0
会计学院,02013,财务管理,B03,张阳华,3,麦庐园校区, 多媒体,3-567,,,55,0
会计学院,02013,财务管理,B04,王卫清,3,麦庐园校区, 多媒体,3-567,,,55,0
会计学院,02013,财务管理,B05,杨多友,3,麦庐园校区, 多媒体,2-567,,,55,0
会计学院,02013,财务管理,B06,杨多友,3,麦庐园校区, 多媒体,2-89A,,,55,0
会计学院,02013,财务管理,B07,郑伯良,3,麦庐园校区, 多媒体,3-89A,,,55,0
会计学院,02024,财务管理,A01,袁业虎,4,蛟桥园校区, 多媒体,1-89,3-89,,55,1
会计学院,02024,财务管理,A02,蔡吉甫,4,蛟桥园校区, 多媒体,4-12,5-34,,55,1
会计学院,02024,财务管理,A03,蔡吉甫,4,蛟桥园校区, 多媒体,4-34,5-12,,55,1
会计学院,02024,财务管理,A04,魏平秀,4,蛟桥园校区, 多媒体,2-12,3-12,,55,1
会计学院,02024,财务管理,A05,魏平秀,4,蛟桥园校区, 多媒体,2-34,3-34,,55,1
会计学院,02024,财务管理,A06,黄善东,4,蛟桥园校区, 多媒体,3-12,4-34,,55,1
会计学院,02024,财务管理,A07,黄善东,4,蛟桥园校区, 多媒体,3-34,4-12,,55,1
会计学院,02024,财务管理,A08,杨桂兰,4,蛟桥园校区, 多媒体,3-12,5-34,,55,1
会计学院,02024,财务管理,A09,杨桂兰,4,蛟桥园校区, 多媒体,3-34,5-12,,55,1
会计学院,02024,财务管理,A10,赵伟,4,蛟桥园校区, 多媒体,1-34,3-56,,55,1
会计学院,02024,财务管理,A11,赵伟,4,蛟桥园校区, 多媒体,1-56,3-34,,55,1
会计学院,02032,会计审计案例,A01,陈剑洪,2,蛟桥园校区, 多媒体,2-34,,,105,0
会计学院,02044,中级财务会计,B03,张伟峰,4,麦庐园校区, 多媒体,1-12,4-34,,105,1
会计学院,02044,中级财务会计,B04,张伟峰,4,麦庐园校区, 多媒体,1-34,4-12,,105,1
会计学院,02054,高级财务会计,A01,刘国英,4,蛟桥园校区, 普通,4-12,5-34,,105,0
会计学院,02112,国际财务管理（双语）,A01,黄蕾,2,蛟桥园校区, 多媒体,4-12,,,35,0
会计学院,02112,国际财务管理（双语）,A02,黄蕾,2,蛟桥园校区, 多媒体,4-34,,,35,0
会计学院,02112,国际财务管理（双语）,A03,熊家财,2,蛟桥园校区, 多媒体,2-12,,,35,0
会计学院,02113,审计学,A02,饶斌,3,蛟桥园校区, 多媒体,5-567,,,105,1
会计学院,02122,高级财务管理,A01,邹斌,2,蛟桥园校区, 多媒体,2-12,,,60,1
会计学院,02122,高级财务管理,A02,张绪军,2,蛟桥园校区, 多媒体,3-12,,,60,1
会计学院,02122,高级财务管理,A03,邹斌,2,蛟桥园校区, 多媒体,2-34,,,80,1
会计学院,02122,高级财务管理,A04,邹斌,2,蛟桥园校区, 多媒体,5-12,,,80,1
会计学院,02122,高级财务管理,A05,张绪军,2,蛟桥园校区, 多媒体,3-34,,,80,1
会计学院,02122,高级财务管理,A06,邹斌,2,蛟桥园校区, 多媒体,5-34,,,80,1
会计学院,02124,审计学,A03,张其镇,4,蛟桥园校区, 多媒体,2-12,4-34,,105,1
会计学院,02124,审计学,A04,张其镇,4,蛟桥园校区, 多媒体,2-34,4-12,,105,1
会计学院,02124,审计学,A05,唐广,4,蛟桥园校区, 多媒体,1-89,3-89,,105,1
会计学院,02124,审计学,A06,唐广,4,蛟桥园校区, 多媒体,2-89,5-89,,105,1
会计学院,02163,会计制度设计,A01,唐广,3,蛟桥园校区, 普通,4-89A,,,105,0
会计学院,02202,会计实验,A01,胡玲,2,蛟桥园校区, 机房（技术中心）,4-12,,,55,0
会计学院,02202,会计实验,A02,胡玲,2,蛟桥园校区, 机房（技术中心）,4-34,,,55,0
会计学院,02202,会计实验,A03,王华明,2,蛟桥园校区, 机房（技术中心）,1-12,,,55,0
会计学院,02202,会计实验,A04,王华明,2,蛟桥园校区, 机房（技术中心）,1-34,,,55,0
会计学院,02203,ERP财务业务一体化实验,A01,胡玉可,3,蛟桥园校区, 机房（技术中心）,1-567,,,60,0
会计学院,02203,ERP财务业务一体化实验,A02,胡玉可,3,蛟桥园校区, 机房（技术中心）,1-89A,,,60,0
会计学院,02203,ERP财务业务一体化实验,A03,刘海,3,蛟桥园校区, 机房（技术中心）,2-567,,,60,0
会计学院,02203,ERP财务业务一体化实验,A04,刘海,3,蛟桥园校区, 机房（技术中心）,2-89A,,,60,0
会计学院,02203,ERP财务业务一体化实验,A05,何宜强,3,蛟桥园校区, 机房（技术中心）,1-567,,,60,0
会计学院,02203,ERP财务业务一体化实验,A06,何宜强,3,蛟桥园校区, 机房（技术中心）,1-89A,,,60,0
会计学院,02203,ERP财务业务一体化实验,A07,桂国明,3,蛟桥园校区, 机房（技术中心）,1-567,,,60,0
会计学院,02203,ERP财务业务一体化实验,A08,桂国明,3,蛟桥园校区, 机房（技术中心）,5-567,,,60,0
会计学院,02212,财务实验,A01,黄善东,2,蛟桥园校区, 机房（技术中心）,5-1234,,,60,0
会计学院,02212,财务实验,A02,黄善东,2,蛟桥园校区, 机房（技术中心）,2-1234,,,60,0
会计学院,02222,企业集团财务,A01,邹斌,2,蛟桥园校区, 多媒体,3-12,,,65,0
会计学院,02222,企业集团财务,A02,邹斌,2,蛟桥园校区, 多媒体,3-34,,,65,0
会计学院,02242,企业价值评估,A01,张阳华,2,蛟桥园校区, 多媒体,2-12,,,30,0
会计学院,02242,企业价值评估,A02,张阳华,2,蛟桥园校区, 多媒体,2-34,,,30,0
会计学院,02242,企业价值评估,A03,张阳华,2,蛟桥园校区, 多媒体,4-12,,,30,0
会计学院,02242,企业价值评估,A04,张阳华,2,蛟桥园校区, 多媒体,4-34,,,30,0
会计学院,02242,企业价值评估,A05,张阳华,2,蛟桥园校区, 多媒体,3-12,,,30,0
会计学院,02253,成本会计,A01,熊家财,3,蛟桥园校区, 多媒体,2-567,,,30,0
会计学院,02422,政府与事业单位会计,A01,王华明,2,蛟桥园校区, 多媒体,4-12,,,105,0
会计学院,02422,政府与事业单位会计,A02,王华明,2,蛟桥园校区, 多媒体,4-34,,,105,0
会计学院,02502,国际会计（双语）,A01,刘国英,2,蛟桥园校区, 多媒体,4-34,,,50,0
会计学院,02502,国际会计（双语）,A02,刘国英,2,蛟桥园校区, 多媒体,5-12,,,50,0
会计学院,02502,国际会计（双语）,A03,江陵,2,蛟桥园校区, 多媒体,2-56,,,50,0
会计学院,02542,审计案例分析,A01,陈青,2,蛟桥园校区, 多媒体,3-12,,,55,0
会计学院,02542,审计案例分析,A02,陈青,2,蛟桥园校区, 多媒体,3-34,,,55,0
会计学院,02542,审计案例分析,A03,陈青,2,蛟桥园校区, 多媒体,3-89,,,55,0
会计学院,02603,会计学,B01,曾晓燕,3,麦庐园校区, 多媒体,2-567,,,105,0
会计学院,02642,Excel在财务中的应用,A01,桂国明,2,蛟桥园校区, 机房（技术中心）,1-34,,,60,0
会计学院,02642,Excel在财务中的应用,A02,桂国明,2,蛟桥园校区, 机房（技术中心）,5-34,,,60,0
会计学院,02642,Excel在财务中的应用,A03,柴晨阳,2,蛟桥园校区, 机房（技术中心）,4-12,,,60,0
会计学院,02642,Excel在财务中的应用,A04,柴晨阳,2,蛟桥园校区, 机房（技术中心）,4-34,,,60,0
会计学院,02673,上市公司财务分析,A01,李金泉,3,蛟桥园校区, 多媒体,1-567,,,35,0
会计学院,02673,上市公司财务分析,A02,李金泉,3,蛟桥园校区, 多媒体,2-567,,,35,0
会计学院,02673,上市公司财务分析,A03,袁园,3,蛟桥园校区, 多媒体,2-567,,,35,0
会计学院,02673,上市公司财务分析,A04,黄蕾,3,蛟桥园校区, 多媒体,1-567,,,35,0
会计学院,02673,上市公司财务分析,A05,郑伯良,3,蛟桥园校区, 多媒体,1-89A,,,35,0
会计学院,02673,上市公司财务分析,A07,张洪辉,3,蛟桥园校区, 多媒体,3-567,,,35,0
会计学院,02692,法务会计,A01,荣莉,2,蛟桥园校区, 多媒体,3-34,,,30,0
会计学院,02711,会计审计史专题,A01,管考磊,1,蛟桥园校区, 多媒体,1-89,,,105,0
会计学院,02822,假账识别与查账技巧,A01,饶斌,2,蛟桥园校区, 多媒体,5-34,,,105,0
会计学院,02833,内部审计理论与实务（双语）,A01,饶斌,3,蛟桥园校区, 多媒体,5-89A,,,105,0
会计学院,02862,会计经典文献阅读（双语）,A01,罗劲博,2,蛟桥园校区, 多媒体,2-89,,,30,0
会计学院,02862,会计经典文献阅读（双语）,A02,周冬华,2,蛟桥园校区, 多媒体,2-34,,,30,0
会计学院,02972,管理会计,A03,赵伟,2,蛟桥园校区, 多媒体,2-34,,,36,0
会计学院,02972,管理会计,A04,赵伟,2,蛟桥园校区, 多媒体,2-56,,,36,0
会计学院,02972,管理会计,A05,杨桂兰,2,蛟桥园校区, 多媒体,2-12,,,36,0
会计学院,02972,管理会计,A06,杨桂兰,2,蛟桥园校区, 多媒体,2-34,,,36,0
会计学院,02972,管理会计,A07,杨桂兰,2,蛟桥园校区, 多媒体,4-12,,,36,0
会计学院,02972,管理会计,A08,杨桂兰,2,蛟桥园校区, 多媒体,4-34,,,36,0
会计学院,02972,管理会计,A09,张绪军,2,蛟桥园校区, 多媒体,2-12,,,35,0
会计学院,02972,管理会计,A10,张绪军,2,蛟桥园校区, 多媒体,2-34,,,35,0
会计学院,02972,管理会计,A11,邱敬波,2,蛟桥园校区, 多媒体,3-12,,,35,1
会计学院,02972,管理会计,A12,邱敬波,2,蛟桥园校区, 多媒体,3-34,,,35,1
会计学院,02972,管理会计,A13,郭小金,2,蛟桥园校区, 多媒体,4-12,,,35,1
会计学院,02972,管理会计,A14,袁园,2,蛟桥园校区, 多媒体,4-12,,,35,1
会计学院,02972,管理会计,A15,袁园,2,蛟桥园校区, 多媒体,4-34,,,35,1
会计学院,02972,管理会计,A16,李金泉,2,蛟桥园校区, 多媒体,4-12,,,35,1
会计学院,02972,管理会计,A17,李金泉,2,蛟桥园校区, 多媒体,4-34,,,35,1
会计学院,02972,管理会计,A18,郭小金,2,蛟桥园校区, 多媒体,4-34,,,35,1
会计学院,02992,中级财务会计Ⅱ,A01,严真红,2,蛟桥园校区, 多媒体,4-12,,,80,1
会计学院,02992,中级财务会计Ⅱ,A02,严真红,2,蛟桥园校区, 多媒体,4-34,,,80,1
会计学院,02992,中级财务会计Ⅱ,A03,陈明坤,2,蛟桥园校区, 多媒体,4-12,,,80,1
会计学院,02992,中级财务会计Ⅱ,A04,彭晓洁,2,蛟桥园校区, 多媒体,2-34,,,80,1
会计学院,02992,中级财务会计Ⅱ,A05,彭晓洁,2,蛟桥园校区, 多媒体,4-12,,,80,1
会计学院,02992,中级财务会计Ⅱ,A06,彭晓洁,2,蛟桥园校区, 多媒体,4-34,,,80,1
会计学院,02992,中级财务会计Ⅱ,A07,刘淑华,2,蛟桥园校区, 多媒体,3-12,,,80,1
会计学院,02992,中级财务会计Ⅱ,A08,刘淑华,2,蛟桥园校区, 多媒体,3-34,,,80,1
会计学院,32062,会计信息系统,A21,江泓,2,蛟桥园校区, 机房（技术中心）,1-12,,,82,1
会计学院,32062,会计信息系统,A22,汪元华,2,蛟桥园校区, 机房（技术中心）,4-12,,,82,1
会计学院,32062,会计信息系统,A23,汪元华,2,蛟桥园校区, 机房（技术中心）,4-34,,,82,1
会计学院,32062,会计信息系统,A24,汪元华,2,蛟桥园校区, 机房（技术中心）,3-12,,,82,1
会计学院,32062,会计信息系统,A25,汪元华,2,蛟桥园校区, 机房（技术中心）,3-34,,,82,1
会计学院,32062,会计信息系统,A26,龚玉芬,2,蛟桥园校区, 机房（技术中心）,4-12,,,82,1
会计学院,32062,会计信息系统,A27,龚玉芬,2,蛟桥园校区, 机房（技术中心）,4-34,,,82,1
会计学院,32063,ERP-财务管理,A01,郑伯良,3,蛟桥园校区, 机房（技术中心）,1-567,,,60,0
会计学院,32082,财务报表分析,A01,邱敬波,2,蛟桥园校区, 多媒体,4-12,,,105,0
会计学院,32082,财务报表分析,A02,邱敬波,2,蛟桥园校区, 多媒体,4-34,,,105,0
会计学院,0201B,会计技能竞赛（信息化环境）集训,A01,吴志斌,0.5,蛟桥园校区, 机房（技术中心）,4-56,,,30,0
会计学院,0202B,全国财务决策分析竞赛集训,A01,汪元华,0.5,蛟桥园校区, 机房（技术中心）,4-8,,,30,0
会计学院,0202B,全国财务决策分析竞赛集训,A02,汪元华,0.5,蛟桥园校区, 机房（技术中心）,4-9,,,30,0
会计学院,028B2,内部控制理论与实务,A01,廖义刚,2,蛟桥园校区, 多媒体,4-34,,,60,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A01,方勤,1,蛟桥园校区, 普通,1-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A02,王金海,1,蛟桥园校区, 普通,1-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A03,方勤,1,蛟桥园校区, 普通,2-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A04,王金海,1,蛟桥园校区, 普通,2-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A05,朱海琴,1,蛟桥园校区, 普通,3-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A06,习金文,1,蛟桥园校区, 普通,3-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A07,朱海琴,1,蛟桥园校区, 普通,4-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A08,刘卫,1,蛟桥园校区, 普通,4-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A09,习金文,1,蛟桥园校区, 普通,5-56,,,40,0
计算机实践教学中心、经济管理与创业模拟实验教学中心,00991,大学生KAB创业基础,A10,王迪宏,1,蛟桥园校区, 普通,5-56,,,40,0
金融学院,01013,货币银行学,A01,杨荣,3,蛟桥园校区, 多媒体,1-567,,,106,1
金融学院,01013,货币银行学,A02,杨荣,3,蛟桥园校区, 多媒体,1-89A,,,106,1
金融学院,01013,货币银行学,A03,舒海棠,3,蛟桥园校区, 多媒体,1-567,,,106,1
金融学院,01013,货币银行学,A04,舒海棠,3,蛟桥园校区, 多媒体,2-234,,,106,1
金融学院,01013,货币银行学,A05,吴伟军,3,蛟桥园校区, 多媒体,2-567,,,106,1
金融学院,01013,货币银行学,A06,吴伟军,3,蛟桥园校区, 多媒体,3-89A,,,106,1
金融学院,01013,货币银行学,A07,孙爱琳,3,蛟桥园校区, 多媒体,1-567,,,106,1
金融学院,01013,货币银行学,A08,孙爱琳,3,蛟桥园校区, 多媒体,2-567,,,106,1
金融学院,01013,货币银行学,A09,孙爱琳,3,蛟桥园校区, 多媒体,3-123,,,106,1
金融学院,01013,货币银行学,B01,吴艳艳,3,麦庐园校区, 多媒体,1-567,,,106,0
金融学院,01013,货币银行学,B02,吴艳艳,3,麦庐园校区, 多媒体,4-567,,,106,0
金融学院,01013,货币银行学,B03,刘黎平,3,麦庐园校区, 多媒体,3-234,,,106,0
金融学院,01013,货币银行学,B04,刘黎平,3,麦庐园校区, 多媒体,3-89A,,,106,0
金融学院,01023,国际金融,A01,杨玉凤,3,蛟桥园校区, 多媒体,2-234,,,106,0
金融学院,01023,国际金融,A02,刘兴华,3,蛟桥园校区, 多媒体,4-123,,,106,0
金融学院,01023,国际金融,A03,李佳,3,蛟桥园校区, 多媒体,5-123,,,106,0
金融学院,01023,国际金融,A08,刘兴华,3,蛟桥园校区, 多媒体,1-567,,,60,1
金融学院,01023,国际金融,A09,杨玉凤,3,蛟桥园校区, 多媒体,2-567,,,60,1
金融学院,01023,国际金融,A10,李英,3,蛟桥园校区, 多媒体,3-234,,,59,1
金融学院,01023,国际金融,A11,曾莉华,3,蛟桥园校区, 多媒体,4-567,,,59,1
金融学院,01023,国际金融,A12,吕江林,3,蛟桥园校区, 多媒体,5-123,,,59,1
金融学院,01023,国际金融,A13,彭玉镏,3,蛟桥园校区, 多媒体,1-567,,,57,1
金融学院,01023,国际金融,A14,李佳,3,蛟桥园校区, 多媒体,5-567,,,57,1
金融学院,01053,商业银行管理,B01,牛子雨,3,麦庐园校区, 多媒体,2-567,,,106,0
金融学院,01282,中央银行学,A02,曾莉华,2,蛟桥园校区, 多媒体,3-34,,,60,0
金融学院,01282,中央银行学,A03,汪洋,2,蛟桥园校区, 多媒体,4-12,,,60,0
金融学院,01282,中央银行学,A04,汪洋,2,蛟桥园校区, 多媒体,4-34,,,60,0
金融学院,01303,金融工程,A13,杜江泽,3,蛟桥园校区, 多媒体,1-123,,,63,1
金融学院,01303,金融工程,A14,杜江泽,3,蛟桥园校区, 多媒体,2-89A,,,64,1
金融学院,01303,金融工程,A15,邹永杰,3,蛟桥园校区, 多媒体,3-89A,,,65,1
金融学院,01303,金融工程,A16,邹永杰,3,蛟桥园校区, 多媒体,4-89A,,,63,1
金融学院,01303,金融工程,A17,王清生,3,蛟桥园校区, 多媒体,5-89A,,,64,1
金融学院,01303,金融工程,A18,王清生,3,蛟桥园校区, 多媒体,1-89A,,,64,1
金融学院,01303,金融工程,A19,梁娟,3,蛟桥园校区, 多媒体,2-234,,,62,1
金融学院,01333,证券投资学,B01,陈家洪,3,麦庐园校区, 多媒体,2-567,,,106,0
金融学院,01333,证券投资学,B02,陈家洪,3,麦庐园校区, 多媒体,4-567,,,106,0
金融学院,01373,保险学,A01,胡少勇,3,蛟桥园校区, 多媒体,1-567,,,101,0
金融学院,01532,投资银行学,A01,李思敏,2,蛟桥园校区, 多媒体,3-12,,,60,0
金融学院,01532,投资银行学,A02,李思敏,2,蛟桥园校区, 多媒体,3-34,,,60,0
金融学院,01532,投资银行学,A03,官保纲,2,蛟桥园校区, 多媒体,5-12,,,60,0
金融学院,01532,投资银行学,A04,官保纲,2,蛟桥园校区, 多媒体,5-34,,,60,0
金融学院,01543,国际金融实务,A01,杨玉凤,3,蛟桥园校区, 多媒体,1-567,,,106,0
金融学院,01553,国际结算(双语),A01,王慧,3,蛟桥园校区, 多媒体,4-234,,,106,0
金融学院,01553,国际结算(双语),A02,王慧,3,蛟桥园校区, 多媒体,4-567,,,106,0
金融学院,01663,金融计量学,A01,梁娟,3,蛟桥园校区, 多媒体,3-234,,,63,1
金融学院,01663,金融计量学,A02,邹朋飞,3,蛟桥园校区, 多媒体,4-567,,,64,1
金融学院,01663,金融计量学,A03,邹朋飞,3,蛟桥园校区, 多媒体,5-567,,,65,1
金融学院,01663,金融计量学,A04,梁娟,3,蛟桥园校区, 多媒体,1-234,,,63,1
金融学院,01663,金融计量学,A05,杨炳铎,3,蛟桥园校区, 多媒体,2-567,,,64,1
金融学院,01663,金融计量学,A06,胡志军,3,蛟桥园校区, 多媒体,3-123,,,64,1
金融学院,01663,金融计量学,A07,王清生,3,蛟桥园校区, 多媒体,4-89A,,,62,1
金融学院,01872,国际金融管理(双语),A01,文艺,2,蛟桥园校区, 多媒体,4-12,,,106,0
金融学院,01872,国际金融管理(双语),A02,文艺,2,蛟桥园校区, 多媒体,4-34,,,106,0
金融学院,31002,证券投资基金,A01,陈家洪,2,蛟桥园校区, 多媒体,4-34,,,106,0
金融学院,31012,创业投资管理,A01,陈家洪,2,蛟桥园校区, 多媒体,4-12,,,106,0
金融学院,31062,保险英语,A01,刘凌,2,蛟桥园校区, 多媒体,3-12,,,106,0
金融学院,31083,寿险精算(双语),A01,王清生,3,蛟桥园校区, 多媒体,3-89A,,,106,0
金融学院,31143,期货投资学,A01,刘泽民,3,蛟桥园校区, 多媒体,2-567,,,106,0
金融学院,31153,证券投资技术分析,A01,王辉,3,蛟桥园校区,机房（经济实验中心）,1-567,,,60,0
金融学院,31153,证券投资技术分析,A02,王辉,3,蛟桥园校区,机房（经济实验中心）,2-567,,,60,0
金融学院,31153,证券投资技术分析,A03,钟小林,3,蛟桥园校区,机房（经济实验中心）,1-123,,,52,0
金融学院,31262,金融企业会计,A01,邹玲,2,蛟桥园校区, 多媒体,5-12,,,110,0
金融学院,31262,金融企业会计,A02,邹玲,2,蛟桥园校区, 多媒体,5-34,,,110,0
金融学院,01E22,金融实务博弈,A01,胡少勇,2,蛟桥园校区, 多媒体,5-89,,,106,0
金融学院,01A32,保险营销学,A01,段梅,2,蛟桥园校区, 多媒体,6-1234,,,50,0
金融学院,01A53,金融机构风险管理,A01,文艺,3,蛟桥园校区, 多媒体,5-234,,,63,0
金融学院,01A53,金融机构风险管理,A02,胡志军,3,蛟桥园校区, 多媒体,1-567,,,64,0
金融学院,01A53,金融机构风险管理,A03,黄飞鸣,3,蛟桥园校区, 多媒体,2-123,,,65,0
金融学院,01A53,金融机构风险管理,A04,黄飞鸣,3,蛟桥园校区, 多媒体,3-123,,,63,0
金融学院,01A53,金融机构风险管理,A05,彭玉镏,3,蛟桥园校区, 多媒体,4-89A,,,64,0
金融学院,01A53,金融机构风险管理,A06,文艺,3,蛟桥园校区, 多媒体,5-89A,,,64,0
金融学院,01A53,金融机构风险管理,A07,彭玉镏,3,蛟桥园校区, 多媒体,1-89A,,,62,0
金融学院,01A72,保险核保与理赔,A01,胡少勇,2,蛟桥园校区, 多媒体,6-1234,,,60,0
金融学院,01A82,金融监管,A01,舒海棠,2,蛟桥园校区, 多媒体,4-12,,,106,0
金融学院,01A82,金融监管,A02,舒海棠,2,蛟桥园校区, 多媒体,4-34,,,106,0
金融学院,01B22,货币银行学,A01,杨荣,2,蛟桥园校区, 多媒体,2-12,,,106,0
